x_value,total_1,total_2
686,1656,1360
687,1660,1364
688,1665,1362
689,1669,1360
690,1664,1363
691,1663,1364
692,1668,1361
693,1670,1364
694,1664,1368
695,1664,1369
696,1664,1370
697,1661,1375
698,1661,1370
699,1656,1372
700,1662,1374
701,1670,1374
702,1670,1373
703,1670,1374
704,1666,1372
705,1668,1377
706,1665,1381
707,1660,1387
708,1656,1387
709,1660,1382
710,1661,1377
711,1659,1377
712,1655,1383
713,1656,1387
714,1651,1387
715,1658,1390
716,1654,1392
717,1648,1394
718,1648,1391
719,1650,1393
720,1658,1392
721,1665,1388
722,1671,1388
723,1665,1394
724,1659,1396
725,1656,1397
726,1663,1403
727,1667,1403
728,1662,1399
729,1662,1398
730,1663,1404
731,1662,1409
732,1662,1415
733,1662,1421
734,1656,1425
735,1660,1431
736,1664,1433
737,1663,1434
738,1659,1434
739,1655,1432
740,1650,1433
741,1658,1438
742,1663,1442
743,1662,1442
744,1659,1447
745,1665,1447
746,1669,1442
747,1674,1438
748,1680,1436
749,1686,1433
750,1680,1428
751,1679,1427
752,1677,1427
753,1681,1427
754,1688,1424
755,1691,1428
756,1698,1431
757,1701,1429
758,1705,1424
759,1705,1424
760,1704,1421
761,1700,1418
762,1699,1415
763,1695,1411
764,1692,1411
765,1692,1407
766,1699,1404
767,1706,1400
768,1714,1401
769,1718,1404
770,1725,1407
771,1728,1405
772,1731,1408
773,1738,1411
774,1742,1414
775,1744,1418
776,1743,1417
777,1747,1412
778,1741,1418
779,1736,1415
780,1739,1410
781,1741,1406
782,1744,1407
783,1749,1411
784,1749,1417
785,1754,1421
786,1756,1425
787,1760,1429
788,1767,1432
789,1761,1430
790,1765,1426
791,1762,1427
792,1757,1426
793,1757,1424
794,1760,1424
795,1754,1430
796,1759,1434
797,1758,1434
798,1754,1434
799,1750,1435
800,1753,1440
801,1756,1439
802,1762,1435
803,1761,1432
804,1760,1430
805,1761,1436
806,1767,1441
807,1764,1445
808,1769,1445
809,1774,1444
810,1777,1443
811,1782,1447
812,1776,1448
813,1772,1451
814,1767,1457
815,1773,1460
816,1777,1465
817,1780,1466
818,1785,1469
819,1787,1466
820,1783,1467
821,1788,1465
822,1789,1461
823,1791,1466
824,1793,1466
825,1800,1472
826,1799,1470
827,1796,1468
828,1794,1472
829,1802,1478
830,1797,1484
831,1795,1480
832,1802,1479
833,1809,1479
834,1808,1475
835,1812,1480
836,1812,1480
837,1810,1483
838,1816,1484
839,1813,1485
840,1812,1484
841,1809,1487
842,1811,1488
843,1816,1483
844,1821,1489
845,1816,1491
846,1813,1495
847,1818,1499
848,1820,1500
849,1828,1498
850,1825,1504
851,1832,1505
852,1840,1510
853,1845,1516
854,1841,1512
855,1843,1509
856,1843,1505
857,1844,1508
858,1843,1511
859,1840,1509
860,1844,1505
861,1847,1503
862,1851,1505
863,1846,1507
864,1852,1513
865,1854,1516
866,1855,1521
867,1859,1517
868,1865,1512
869,1870,1511
870,1870,1516
871,1868,1519
872,1869,1518
873,1868,1523
874,1873,1526
875,1877,1525
876,1874,1523
877,1871,1528
878,1874,1529
879,1879,1526
880,1876,1529
881,1873,1526
882,1874,1527
883,1882,1522
884,1882,1518
885,1886,1520
886,1886,1521
887,1881,1527
888,1880,1526
889,1881,1530
890,1883,1533
891,1886,1537
892,1883,1534
893,1878,1539
894,1876,1537
895,1870,1532
896,1875,1533
897,1875,1531
898,1871,1529
899,1870,1526
900,1876,1521
901,1883,1527
902,1884,1523
903,1883,1529
904,1885,1524
905,1892,1522
906,1900,1527
907,1896,1528
908,1899,1524
909,1898,1521
910,1898,1527
911,1899,1526
912,1900,1525
913,1900,1531
914,1896,1532
915,1901,1534
916,1896,1537
917,1895,1542
918,1902,1544
919,1901,1546
920,1895,1546
921,1894,1552
922,1902,1556
923,1898,1555
924,1905,1552
925,1910,1547
926,1907,1545
927,1906,1551
928,1911,1555
929,1912,1552
930,1907,1553
931,1904,1556
932,1903,1552
933,1907,1550
934,1915,1550
935,1909,1551
936,1913,1556
937,1909,1555
938,1909,1560
939,1904,1559
940,1908,1565
941,1903,1567
942,1901,1568
943,1902,1568
944,1909,1563
945,1917,1563
946,1924,1564
947,1922,1561
948,1927,1567
949,1924,1565
950,1922,1565
951,1927,1571
952,1923,1567
953,1930,1565
954,1931,1562
955,1935,1567
956,1940,1565
957,1939,1571
958,1943,1576
959,1937,1578
960,1938,1575
961,1944,1579
962,1949,1574
963,1948,1571
964,1956,1576
965,1961,1571
966,1966,1574
967,1973,1573
968,1973,1577
969,1970,1576
970,1966,1578
971,1968,1579
972,1971,1583
973,1966,1589
974,1962,1589
975,1966,1591
976,1969,1588
977,1964,1588
978,1970,1590
979,1975,1589
980,1971,1588
981,1966,1587
982,1966,1591
983,1964,1597
984,1958,1603
985,1963,1598
986,1970,1604
987,1975,1604
988,1983,1607
989,1979,1602
990,1980,1600
991,1982,1595
992,1988,1593
993,1992,1593
994,1996,1593
995,2000,1593
996,1995,1593
997,1997,1589
998,2004,1592
999,2007,1598
1000,2011,1601
1001,2018,1596
1002,2025,1593
1003,2029,1589
1004,2027,1588
1005,2021,1584
1006,2021,1587
1007,2028,1589
1008,2032,1588
1009,2036,1587
1010,2040,1584
1011,2038,1579
1012,2046,1582
1013,2054,1586
1014,2060,1589
1015,2064,1592
1016,2058,1592
1017,2066,1591
1018,2072,1587
1019,2066,1585
1020,2062,1589
1021,2061,1589
1022,2058,1592
1023,2055,1594
1024,2058,1598
1025,2056,1596
1026,2059,1594
1027,2067,1600
1028,2072,1604
1029,2067,1609
1030,2065,1613
1031,2062,1609
1032,2069,1610
1033,2072,1605
1034,2076,1610
1035,2077,1613
1036,2076,1611
1037,2070,1610
1038,2075,1611
1039,2069,1617
1040,2072,1615
1041,2077,1620
1042,2072,1624
1043,2080,1619
1044,2074,1621
1045,2078,1626
1046,2082,1626
1047,2077,1626
1048,2081,1625
1049,2084,1624
1050,2090,1626
1051,2094,1632
1052,2096,1638
1053,2096,1635
1054,2096,1641
1055,2100,1639
1056,2095,1642
1057,2096,1646
1058,2097,1642
1059,2099,1644
1060,2106,1648
1061,2112,1654
1062,2119,1651
1063,2117,1655
1064,2112,1650
1065,2113,1650
1066,2118,1655
1067,2113,1659
1068,2113,1658
1069,2118,1662
1070,2115,1663
1071,2109,1668
1072,2104,1666
1073,2099,1664
1074,2096,1660
1075,2094,1665
1076,2102,1669
1077,2100,1664
1078,2099,1660
1079,2104,1663
1080,2104,1666
1081,2112,1661
1082,2110,1656
1083,2113,1660
1084,2112,1665
1085,2113,1668
1086,2114,1674
1087,2113,1676
1088,2118,1675
1089,2116,1670
1090,2119,1676
1091,2122,1672
1092,2126,1676
1093,2127,1682
1094,2131,1682
1095,2136,1687
1096,2137,1684
1097,2140,1683
1098,2135,1682
1099,2136,1677
1100,2131,1675
1101,2126,1670
1102,2125,1669
1103,2130,1665
1104,2129,1668
1105,2136,1673
1106,2140,1677
1107,2145,1680
1108,2152,1677
1109,2146,1682
1110,2145,1677
1111,2149,1680
1112,2144,1679
1113,2151,1677
1114,2156,1677
1115,2158,1675
1116,2158,1674
1117,2159,1673
1118,2164,1669
1119,2172,1665
1120,2174,1669
1121,2177,1664
1122,2175,1661
1123,2172,1664
1124,2170,1659
1125,2167,1664
1126,2165,1659
1127,2166,1664
1128,2173,1665
1129,2169,1662
1130,2173,1662
1131,2180,1657
1132,2176,1653
1133,2174,1649
1134,2173,1646
1135,2169,1647
1136,2170,1653
1137,2173,1649
1138,2177,1652
1139,2182,1652
1140,2176,1647
1141,2179,1652
1142,2180,1657
1143,2186,1659
1144,2183,1663
1145,2178,1669
1146,2174,1665
1147,2173,1660
1148,2172,1655
1149,2174,1650
1150,2178,1656
1151,2183,1652
1152,2181,1655
1153,2180,1657
1154,2183,1653
1155,2189,1659
1156,2183,1655
1157,2179,1658
1158,2185,1657
1159,2193,1652
1160,2191,1651
1161,2196,1650
1162,2203,1648
1163,2201,1653
1164,2208,1649
1165,2216,1645
1166,2211,1644
1167,2209,1649
1168,2210,1644
1169,2206,1647
1170,2203,1652
1171,2203,1648
1172,2209,1654
1173,2217,1652
1174,2213,1653
1175,2221,1652
1176,2229,1649
1177,2227,1645
1178,2227,1651
1179,2233,1647
1180,2228,1642
1181,2228,1647
1182,2227,1642
1183,2225,1646
1184,2227,1642
1185,2230,1642
1186,2236,1644
1187,2243,1646
1188,2250,1645
1189,2257,1645
1190,2257,1651
1191,2253,1654
1192,2253,1653
1193,2261,1654
1194,2266,1657
1195,2261,1661
1196,2266,1660
1197,2273,1663
1198,2280,1659
1199,2280,1664
1200,2275,1659
1201,2272,1663
1202,2271,1661
1203,2275,1665
1204,2278,1670
1205,2274,1676
1206,2274,1673
1207,2268,1674
1208,2272,1678
1209,2268,1673
1210,2269,1676
1211,2269,1680
1212,2277,1681
1213,2282,1684
1214,2285,1683
1215,2280,1684
1216,2281,1682
1217,2285,1688
1218,2280,1689
1219,2286,1694
1220,2282,1694
1221,2277,1696
1222,2273,1693
1223,2270,1697
1224,2268,1695
1225,2274,1693
1226,2281,1693
1227,2287,1693
1228,2285,1695
1229,2282,1690
1230,2287,1688
1231,2295,1691
1232,2296,1689
1233,2294,1692
1234,2289,1694
1235,2286,1694
1236,2281,1693
1237,2277,1698
1238,2280,1696
1239,2283,1700
1240,2288,1704
1241,2287,1700
1242,2288,1706
1243,2289,1711
1244,2294,1707
1245,2294,1713
1246,2290,1717
1247,2287,1716
1248,2291,1720
1249,2293,1724
1250,2298,1724
1251,2298,1728
1252,2300,1724
1253,2300,1727
1254,2298,1727
1255,2305,1722
1256,2306,1720
1257,2312,1721
1258,2318,1720
1259,2324,1716
1260,2332,1721
1261,2337,1723
1262,2341,1723
1263,2347,1727
1264,2348,1723
1265,2353,1724
1266,2358,1729
1267,2357,1729
1268,2358,1728
1269,2353,1732
1270,2356,1729
1271,2359,1735
1272,2359,1738
1273,2354,1743
1274,2349,1748
1275,2357,1747
1276,2364,1750
1277,2364,1753
1278,2365,1755
1279,2360,1761
1280,2368,1761
1281,2371,1767
1282,2365,1762
1283,2360,1764
1284,2368,1768
1285,2366,1770
1286,2361,1774
1287,2365,1772
1288,2365,1767
1289,2370,1766
1290,2375,1770
1291,2375,1772
1292,2374,1775
1293,2372,1772
1294,2369,1774
1295,2370,1769
1296,2374,1772
1297,2373,1776
1298,2376,1778
1299,2376,1781
1300,2383,1778
1301,2385,1780
1302,2383,1775
1303,2388,1770
1304,2393,1768
1305,2396,1769
1306,2402,1766
1307,2410,1765
1308,2407,1766
1309,2403,1763
1310,2404,1761
1311,2399,1765
1312,2402,1766
1313,2406,1763
1314,2401,1758
1315,2401,1760
1316,2395,1761
1317,2403,1759
1318,2398,1755
1319,2404,1757
1320,2408,1753
1321,2411,1758
1322,2411,1755
1323,2405,1761
1324,2413,1765
1325,2421,1763
1326,2420,1763
1327,2426,1769
1328,2426,1772
1329,2429,1775
1330,2423,1772
1331,2420,1773
1332,2418,1774
1333,2414,1770
1334,2417,1773
1335,2414,1775
1336,2415,1774
1337,2415,1770
1338,2422,1768
1339,2430,1774
1340,2435,1778
1341,2438,1778
1342,2432,1774
1343,2435,1772
1344,2435,1771
1345,2439,1769
1346,2444,1772
1347,2447,1778
1348,2448,1783
1349,2447,1783
1350,2455,1781
1351,2451,1785
1352,2452,1782
1353,2452,1780
1354,2449,1778
1355,2454,1782
1356,2450,1778
1357,2448,1775
1358,2453,1770
1359,2459,1770
1360,2465,1772
1361,2468,1773
1362,2474,1775
1363,2477,1774
1364,2474,1771
1365,2481,1766
1366,2485,1771
1367,2493,1767
1368,2496,1764
1369,2490,1770
1370,2484,1776
1371,2479,1772
1372,2484,1776
1373,2483,1778
1374,2478,1782
1375,2478,1787
1376,2483,1789
1377,2486,1794
1378,2487,1795
1379,2494,1795
1380,2493,1792
1381,2497,1790
1382,2500,1786
1383,2496,1789
1384,2495,1789
1385,2502,1791
1386,2501,1788
1387,2503,1784
1388,2501,1780
1389,2496,1775
1390,2500,1772
1391,2508,1776
1392,2505,1772
1393,2512,1769
1394,2520,1771
1395,2517,1767
1396,2517,1767
1397,2521,1769
1398,2529,1775
1399,2527,1774
1400,2529,1772
1401,2529,1770
1402,2531,1765
1403,2539,1770
1404,2538,1771
1405,2541,1771
1406,2548,1774
1407,2553,1770
1408,2549,1765
1409,2546,1762
1410,2545,1764
1411,2540,1765
1412,2546,1767
1413,2552,1769
1414,2548,1773
1415,2551,1778
1416,2556,1774
1417,2550,1776
1418,2550,1779
1419,2544,1778
1420,2546,1775
1421,2548,1781
1422,2554,1787
1423,2554,1791
1424,2560,1789
1425,2556,1795
1426,2553,1798
1427,2558,1801
1428,2564,1807
1429,2559,1808
1430,2553,1812
1431,2552,1810
1432,2552,1815
1433,2551,1814
1434,2551,1813
1435,2547,1812
1436,2548,1814
1437,2547,1816
1438,2547,1811
1439,2553,1815
1440,2561,1817
1441,2560,1819
1442,2563,1825
1443,2568,1822
1444,2568,1822
1445,2570,1818
1446,2565,1816
1447,2561,1811
1448,2564,1808
1449,2572,1806
1450,2576,1812
1451,2582,1817
1452,2590,1817
1453,2590,1819
1454,2594,1816
1455,2602,1817
1456,2609,1819
1457,2606,1821
1458,2606,1826
1459,2607,1822
1460,2615,1817
1461,2618,1812
1462,2622,1815
1463,2630,1812
1464,2630,1814
1465,2638,1817
1466,2632,1818
1467,2640,1819
1468,2637,1818
1469,2637,1824
1470,2640,1825
1471,2638,1820
1472,2635,1824
1473,2639,1824
1474,2633,1824
1475,2639,1823
1476,2634,1822
1477,2638,1822
1478,2643,1822
1479,2638,1826
1480,2644,1826
1481,2644,1823
1482,2640,1821
1483,2636,1816
1484,2644,1815
1485,2639,1818
1486,2634,1814
1487,2629,1814
1488,2628,1812
1489,2626,1813
1490,2620,1809
1491,2625,1809
1492,2626,1805
1493,2631,1809
1494,2625,1812
1495,2630,1815
1496,2634,1815
1497,2640,1817
1498,2646,1812
1499,2646,1807
1500,2648,1809
1501,2648,1810
1502,2655,1814
1503,2655,1820
1504,2651,1821
1505,2652,1816
